Country,Code,Year,Value
Aruba,ABW,2000,235455000
Aruba,ABW,2001,321360614.5
Aruba,ABW,2002,374002933
Aruba,ABW,2003,336945700
Aruba,ABW,2004,339224000
Aruba,ABW,2005,324813400
Aruba,ABW,2006,401389600
Aruba,ABW,2007,455457100
Aruba,ABW,2008,691873900
Aruba,ABW,2009,686970110
Aruba,ABW,2010,708713690
Aruba,ABW,2011,689775980
Aruba,ABW,2012,768622300
Aruba,ABW,2013,653170670
Aruba,ABW,2014,680351000
Aruba,ABW,2015,815800560
Aruba,ABW,2016,922550890
Aruba,ABW,2017,907111452.5
Aruba,ABW,2018,980247680
Aruba,ABW,2019,982300000
Aruba,ABW,2020,1212578720
Afghanistan,AFG,2008,3042274496
Afghanistan,AFG,2009,4265888740
Afghanistan,AFG,2010,5162440807
Afghanistan,AFG,2011,6344641960
Afghanistan,AFG,2012,7152304398
Afghanistan,AFG,2013,7288702711
Afghanistan,AFG,2014,7528549880
Afghanistan,AFG,2015,6976966154
Afghanistan,AFG,2016,7281910524
Afghanistan,AFG,2017,8097280956
Afghanistan,AFG,2018,8206682106
Afghanistan,AFG,2019,8497655795
Afghanistan,AFG,2020,9694989381
Angola,AGO,2000,1198212373
Angola,AGO,2001,731866198.1
Angola,AGO,2002,375545950.3
Angola,AGO,2003,634199422.3
Angola,AGO,2004,1379588147
Angola,AGO,2005,3196850749
Angola,AGO,2006,8149079646
Angola,AGO,2007,11196800894
Angola,AGO,2008,17869411576
Angola,AGO,2009,13664098154
Angola,AGO,2010,19678661657
Angola,AGO,2011,27039761554
Angola,AGO,2012,31161778889
Angola,AGO,2013,31500815462
Angola,AGO,2014,27032344084
Angola,AGO,2015,23790543425
Angola,AGO,2016,23672191989
Angola,AGO,2017,17455327771
Angola,AGO,2018,15410405365
Angola,AGO,2019,16334853784
Angola,AGO,2020,13781988140
Albania,ALB,2000,646305676.5
Albania,ALB,2001,770581227.4
Albania,ALB,2002,866478231.3
Albania,ALB,2003,1038294231
Albania,ALB,2004,1387912854
Albania,ALB,2005,1439592137
Albania,ALB,2006,1812802560
Albania,ALB,2007,2161936583
Albania,ALB,2008,2363791897
Albania,ALB,2009,2368942443
Albania,ALB,2010,2540673823
Albania,ALB,2011,2471402725
Albania,ALB,2012,2599863597
Albania,ALB,2013,2773278107
Albania,ALB,2014,2665215805
Albania,ALB,2015,3138517990
Albania,ALB,2016,3108607052
Albania,ALB,2017,3588583657
Albania,ALB,2018,3893560031
Albania,ALB,2019,3763661059
Albania,ALB,2020,4817386149
United Arab Emirates,ARE,2000,13631620189
United Arab Emirates,ARE,2001,14256130113
United Arab Emirates,ARE,2002,15355431325
United Arab Emirates,ARE,2003,15087811904
United Arab Emirates,ARE,2004,18529923698
United Arab Emirates,ARE,2005,21010295842
United Arab Emirates,ARE,2006,27617445823
United Arab Emirates,ARE,2007,77238765358
United Arab Emirates,ARE,2008,31694454694
United Arab Emirates,ARE,2009,26104201598
United Arab Emirates,ARE,2010,32785291883
United Arab Emirates,ARE,2011,37269318423
United Arab Emirates,ARE,2012,47035150431
United Arab Emirates,ARE,2013,68202650660
United Arab Emirates,ARE,2014,78424381665
United Arab Emirates,ARE,2015,93929134196
United Arab Emirates,ARE,2016,85390832746
United Arab Emirates,ARE,2017,95377648626
United Arab Emirates,ARE,2018,99503335479
United Arab Emirates,ARE,2019,1.08359E+11
United Arab Emirates,ARE,2020,1.06702E+11
Argentina,ARG,2000,25152117244
Argentina,ARG,2001,14555552760
Argentina,ARG,2002,10492424819
Argentina,ARG,2003,14157284136
Argentina,ARG,2004,19659591804
Argentina,ARG,2005,28081718502
Argentina,ARG,2006,32022297113
Argentina,ARG,2007,46149456856
Argentina,ARG,2008,46385380207
Argentina,ARG,2009,48006988635
Argentina,ARG,2010,52207549724
Argentina,ARG,2011,46265800526
Argentina,ARG,2012,43223270864
Argentina,ARG,2013,30533919651
Argentina,ARG,2014,31410813270
Argentina,ARG,2015,25520565580
Argentina,ARG,2016,38414518492
Argentina,ARG,2017,55314409205
Argentina,ARG,2018,66221501691
Argentina,ARG,2019,44880566052
Argentina,ARG,2020,39403734630
Armenia,ARM,2000,314200332.8
Armenia,ARM,2001,329632780.1
Armenia,ARM,2002,430974325.4
Armenia,ARM,2003,501977062.1
Armenia,ARM,2004,547758869.6
Armenia,ARM,2005,669480407.7
Armenia,ARM,2006,1071917964
Armenia,ARM,2007,1659090453
Armenia,ARM,2008,1406800823
Armenia,ARM,2009,2003623408
Armenia,ARM,2010,1865824297
Armenia,ARM,2011,1932471999
Armenia,ARM,2012,1799374399
Armenia,ARM,2013,2251610255
Armenia,ARM,2014,1489443371
Armenia,ARM,2015,1775293494
Armenia,ARM,2016,2204113991
Armenia,ARM,2017,2314113951
Armenia,ARM,2018,2259321869
Armenia,ARM,2019,2849645182
Armenia,ARM,2020,2615530571
Antigua and Barbuda,ATG,2000,63558884.53
Antigua and Barbuda,ATG,2001,79718831.04
Antigua and Barbuda,ATG,2002,87648341.46
Antigua and Barbuda,ATG,2003,113767366.7
Antigua and Barbuda,ATG,2004,120139161.9
Antigua and Barbuda,ATG,2005,127320746.2
Antigua and Barbuda,ATG,2006,142632588.8
Antigua and Barbuda,ATG,2007,143848808.5
Antigua and Barbuda,ATG,2008,138022502.6
Antigua and Barbuda,ATG,2009,127860399.4
Antigua and Barbuda,ATG,2010,136600155.3
Antigua and Barbuda,ATG,2011,147868733.6
Antigua and Barbuda,ATG,2012,162045102
Antigua and Barbuda,ATG,2013,202580587
Antigua and Barbuda,ATG,2014,297046137.5
Antigua and Barbuda,ATG,2015,355728253.4
Antigua and Barbuda,ATG,2016,330090979.3
Antigua and Barbuda,ATG,2017,313645370.8
Antigua and Barbuda,ATG,2018,328659747.5
Antigua and Barbuda,ATG,2019,279133212.7
Antigua and Barbuda,ATG,2020,221808945.9
Australia,AUS,2000,18821546024
Australia,AUS,2001,18663980677
Australia,AUS,2002,21567012300
Australia,AUS,2003,33258076239
Australia,AUS,2004,36925537509
Australia,AUS,2005,43257063109
Australia,AUS,2006,55078716458
Australia,AUS,2007,26907894339
Australia,AUS,2008,32923506492
Australia,AUS,2009,41742190607
Australia,AUS,2010,42267797177
Australia,AUS,2011,46714016758
Australia,AUS,2012,49138172006
Australia,AUS,2013,52837027750
Australia,AUS,2014,53910325023
Australia,AUS,2015,45712035071
Australia,AUS,2016,53555791523
Australia,AUS,2017,66597718118
Australia,AUS,2018,53880533420
Australia,AUS,2019,58754685703
Australia,AUS,2020,43012629265
Austria,AUT,2000,17649557522
Austria,AUT,2001,15598207439
Austria,AUT,2002,13182007409
Austria,AUT,2003,12729301827
Austria,AUT,2004,12188419360
Austria,AUT,2005,11827977058
Austria,AUT,2006,12911210328
Austria,AUT,2007,18193955715
Austria,AUT,2008,16741449885
Austria,AUT,2009,17903949015
Austria,AUT,2010,22241623425
Austria,AUT,2011,24768999165
Austria,AUT,2012,27211429628
Austria,AUT,2013,23316756962
Austria,AUT,2014,25001493235
Austria,AUT,2015,22239731668
Austria,AUT,2016,23255493381
Austria,AUT,2017,21565331649
Austria,AUT,2018,23190665221
Austria,AUT,2019,23616397438
Austria,AUT,2020,30439562425
Azerbaijan,AZE,2000,679605504.1
Azerbaijan,AZE,2001,724979353.9
Azerbaijan,AZE,2002,720471772.5
Azerbaijan,AZE,2003,802839749.2
Azerbaijan,AZE,2004,1075084293
Azerbaijan,AZE,2005,1177743664
Azerbaijan,AZE,2006,2500372956
Azerbaijan,AZE,2007,4273114882
Azerbaijan,AZE,2008,6467239211
Azerbaijan,AZE,2009,5363850354
Azerbaijan,AZE,2010,6409059730
Azerbaijan,AZE,2011,10273925785
Azerbaijan,AZE,2012,11277345749
Azerbaijan,AZE,2013,15175667724
Azerbaijan,AZE,2014,15816416601
Azerbaijan,AZE,2015,7319394112
Azerbaijan,AZE,2016,6573862903
Azerbaijan,AZE,2017,6680532217
Azerbaijan,AZE,2018,6665989936
Azerbaijan,AZE,2019,7042996710
Azerbaijan,AZE,2020,7633754110
Burundi,BDI,2000,37646865.17
Burundi,BDI,2001,17974678.24
Burundi,BDI,2002,59105712.31
Burundi,BDI,2003,67366291.27
Burundi,BDI,2004,66173617.25
Burundi,BDI,2005,100575245.8
Burundi,BDI,2006,131138494.8
Burundi,BDI,2007,177130962.9
Burundi,BDI,2008,266537169.9
Burundi,BDI,2009,323088641.1
Burundi,BDI,2010,332085022.5
Burundi,BDI,2011,295447213.9
Burundi,BDI,2012,308757013.6
Burundi,BDI,2013,329308184.1
Burundi,BDI,2014,317139256.5
Burundi,BDI,2015,136134382.2
Burundi,BDI,2016,95158477.53
Burundi,BDI,2017,97402580.43
Burundi,BDI,2018,68126200.77
Burundi,BDI,2019,111373704.1
Burundi,BDI,2020,90319165.54
Belgium,BEL,2000,12271745172
Belgium,BEL,2001,13560301157
Belgium,BEL,2002,14697923742
Belgium,BEL,2003,14448826871
Belgium,BEL,2004,13990812128
Belgium,BEL,2005,11996383513
Belgium,BEL,2006,13436681104
Belgium,BEL,2007,16485311239
Belgium,BEL,2008,15680647981
Belgium,BEL,2009,23861674313
Belgium,BEL,2010,26779063929
Belgium,BEL,2011,29114266148
Belgium,BEL,2012,30768939404
Belgium,BEL,2013,26946175032
Belgium,BEL,2014,25444391273
Belgium,BEL,2015,24101851039
Belgium,BEL,2016,23480922147
Belgium,BEL,2017,26151437584
Belgium,BEL,2018,26856799009
Belgium,BEL,2019,28969986952
Belgium,BEL,2020,33296227565
Bangladesh,BGD,2000,1515788656
Bangladesh,BGD,2001,1305630681
Bangladesh,BGD,2002,1721734792
Bangladesh,BGD,2003,2624623706
Bangladesh,BGD,2004,3221759633
Bangladesh,BGD,2005,2825004864
Bangladesh,BGD,2006,3877163419
Bangladesh,BGD,2007,5277479281
Bangladesh,BGD,2008,5787356027
Bangladesh,BGD,2009,10341543874
Bangladesh,BGD,2010,11174828667
Bangladesh,BGD,2011,9174749651
Bangladesh,BGD,2012,12754226900
Bangladesh,BGD,2013,18087689200
Bangladesh,BGD,2014,22319788312
Bangladesh,BGD,2015,27493077972
Bangladesh,BGD,2016,32283838539
Bangladesh,BGD,2017,33431482893
Bangladesh,BGD,2018,32028383717
Bangladesh,BGD,2019,32696936140
Bangladesh,BGD,2020,43171735336
Bulgaria,BGR,2000,3507198891
Bulgaria,BGR,2001,3646131848
Bulgaria,BGR,2002,4846429934
Bulgaria,BGR,2003,6825720113
Bulgaria,BGR,2004,9337108133
Bulgaria,BGR,2005,8697081082
Bulgaria,BGR,2006,11756001867
Bulgaria,BGR,2007,17544560020
Bulgaria,BGR,2008,17930378434
Bulgaria,BGR,2009,18522121029
Bulgaria,BGR,2010,17223204559
Bulgaria,BGR,2011,17215731650
Bulgaria,BGR,2012,20507099695
Bulgaria,BGR,2013,19883353048
Bulgaria,BGR,2014,20129698078
Bulgaria,BGR,2015,22153050489
Bulgaria,BGR,2016,25176065816
Bulgaria,BGR,2017,28375830876
Bulgaria,BGR,2018,28711039865
Bulgaria,BGR,2019,27901750799
Bulgaria,BGR,2020,37860001349
Bahrain,BHR,2000,1605306698
Bahrain,BHR,2001,1725453561
Bahrain,BHR,2002,1777159820
Bahrain,BHR,2003,1840973998
Bahrain,BHR,2004,2006203185
Bahrain,BHR,2005,2051923932
Bahrain,BHR,2006,2895643505
Bahrain,BHR,2007,4342187750
Bahrain,BHR,2008,4050919099
Bahrain,BHR,2009,4008299045
Bahrain,BHR,2010,5299463737
Bahrain,BHR,2011,4774194829
Bahrain,BHR,2012,5454261307
Bahrain,BHR,2013,5527718440
Bahrain,BHR,2014,6229406003
Bahrain,BHR,2015,3546207932
Bahrain,BHR,2016,2611989314
Bahrain,BHR,2017,2823123079
Bahrain,BHR,2018,2334278370
Bahrain,BHR,2019,3902650742
Bahrain,BHR,2020,2523073657
"Bahamas, The",BHS,2000,349644583.2
"Bahamas, The",BHS,2001,319252843.7
"Bahamas, The",BHS,2002,380645829.4
"Bahamas, The",BHS,2003,491108558.2
"Bahamas, The",BHS,2004,674401942.8
"Bahamas, The",BHS,2005,586297936.2
"Bahamas, The",BHS,2006,461331327.1
"Bahamas, The",BHS,2007,464482895.4
"Bahamas, The",BHS,2008,567909087.7
"Bahamas, The",BHS,2009,1009823820
"Bahamas, The",BHS,2010,1044153800
"Bahamas, The",BHS,2011,1070217425
"Bahamas, The",BHS,2012,846941347.8
"Bahamas, The",BHS,2013,807408405
"Bahamas, The",BHS,2014,874337064.8
"Bahamas, The",BHS,2015,895475136.3
"Bahamas, The",BHS,2016,1001933945
"Bahamas, The",BHS,2017,1413972941
"Bahamas, The",BHS,2018,1345344674
"Bahamas, The",BHS,2019,1757782754
"Bahamas, The",BHS,2020,2382077961
Bosnia and Herzegovina,BIH,2000,496626475.4
Bosnia and Herzegovina,BIH,2001,1233132927
Bosnia and Herzegovina,BIH,2002,1336266925
Bosnia and Herzegovina,BIH,2003,1813519793
Bosnia and Herzegovina,BIH,2004,2427266571
Bosnia and Herzegovina,BIH,2005,2547614647
Bosnia and Herzegovina,BIH,2006,3671010361
Bosnia and Herzegovina,BIH,2007,5041780929
Bosnia and Herzegovina,BIH,2008,4479825860
Bosnia and Herzegovina,BIH,2009,4575111867
Bosnia and Herzegovina,BIH,2010,4411161780
Bosnia and Herzegovina,BIH,2011,4247540639
Bosnia and Herzegovina,BIH,2012,4389987071
Bosnia and Herzegovina,BIH,2013,4984005031
Bosnia and Herzegovina,BIH,2014,4860208933
Bosnia and Herzegovina,BIH,2015,4790984891
Bosnia and Herzegovina,BIH,2016,5136418168
Bosnia and Herzegovina,BIH,2017,6473729519
Bosnia and Herzegovina,BIH,2018,6808433501
Bosnia and Herzegovina,BIH,2019,7207699940
Bosnia and Herzegovina,BIH,2020,8707117939
Belarus,BLR,2000,350495841.3
Belarus,BLR,2001,390676493.5
Belarus,BLR,2002,687361275.1
Belarus,BLR,2003,636538852.3
Belarus,BLR,2004,836974642.7
Belarus,BLR,2005,1341819427
Belarus,BLR,2006,1386410521
Belarus,BLR,2007,4178575862
Belarus,BLR,2008,3063153365
Belarus,BLR,2009,5640214197
Belarus,BLR,2010,5025440612
Belarus,BLR,2011,7863285897
Belarus,BLR,2012,8094992776
Belarus,BLR,2013,6654216940
Belarus,BLR,2014,5067715364
Belarus,BLR,2015,4172797260
Belarus,BLR,2016,4907608003
Belarus,BLR,2017,7315236709
Belarus,BLR,2018,7157559690
Belarus,BLR,2019,9393817369
Belarus,BLR,2020,7468343228
Belize,BLZ,2000,122898988.2
Belize,BLZ,2001,112041498.8
Belize,BLZ,2002,114506518.2
Belize,BLZ,2003,84684001.23
Belize,BLZ,2004,48253483.79
Belize,BLZ,2005,71357473.86
Belize,BLZ,2006,113721681
Belize,BLZ,2007,108512535
Belize,BLZ,2008,166162897.2
Belize,BLZ,2009,213683331.6
Belize,BLZ,2010,217999757.4
Belize,BLZ,2011,237114250.4
Belize,BLZ,2012,288924768.8
Belize,BLZ,2013,402752296.2
Belize,BLZ,2014,486876774.5
Belize,BLZ,2015,437151657.9
Belize,BLZ,2016,376735092.7
Belize,BLZ,2017,312140148.2
Belize,BLZ,2018,294468435.1
Belize,BLZ,2019,277578761.1
Belize,BLZ,2020,348090076
Bolivia,BOL,2000,1184108228
Bolivia,BOL,2001,1146023735
Bolivia,BOL,2002,892729137.8
Bolivia,BOL,2003,1096941370
Bolivia,BOL,2004,1271422925
Bolivia,BOL,2005,1794984953
Bolivia,BOL,2006,3193982720
Bolivia,BOL,2007,5313631986
Bolivia,BOL,2008,7719766413
Bolivia,BOL,2009,8574579206
Bolivia,BOL,2010,9730683979
Bolivia,BOL,2011,11994673115
Bolivia,BOL,2012,13924289443
Bolivia,BOL,2013,14429068711
Bolivia,BOL,2014,15129277524
Bolivia,BOL,2015,13049620686
Bolivia,BOL,2016,10053627485
Bolivia,BOL,2017,10245969450
Bolivia,BOL,2018,8929614183
Bolivia,BOL,2019,6455449942
Bolivia,BOL,2020,5247234669
Brazil,BRA,2000,33015297296
Brazil,BRA,2001,35866445530
Brazil,BRA,2002,37832146718
Brazil,BRA,2003,49297286966
Brazil,BRA,2004,52934865186
Brazil,BRA,2005,53799284977
Brazil,BRA,2006,85842861115
Brazil,BRA,2007,1.80334E+11
Brazil,BRA,2008,1.93783E+11
Brazil,BRA,2009,2.38539E+11
