Date,Day,Currency,Change
Feb 1 2000,1,US dollar,-2.514640028
Feb 1 2000,1,Euro,1.748863239
Feb 1 2000,1,Japanese yen,3.711238665
Feb 1 2000,1,Pound sterling,-2.013422819
Feb 1 2000,1,Canadian dollar,-2.290076336
Feb 1 2000,1,Swiss franc,1.916793727
Feb 1 2000,1,Indian rupee,-2.259117265
Feb 1 2000,1,Chinese renmimbi,-2.525798935
Feb 1 2000,1,South African rand,0.16326071
Feb 1 2000,1,Australian dollar,1.500682128
Mar 1 2000,1,US dollar,0.895625215
Mar 1 2000,1,Euro,5.841203218
Mar 1 2000,1,Japanese yen,6.961247156
Mar 1 2000,1,Pound sterling,3.41163311
Mar 1 2000,1,Canadian dollar,1.288167939
Mar 1 2000,1,Swiss franc,5.881071662
Mar 1 2000,1,Indian rupee,1.110547828
Mar 1 2000,1,Chinese renmimbi,0.898801598
Mar 1 2000,1,South African rand,4.914710353
Mar 1 2000,1,Australian dollar,9.936334698
May 1 2000,1,US dollar,-5.235962797
May 1 2000,1,Euro,5.911157747
May 1 2000,1,Japanese yen,1.690045172
May 1 2000,1,Pound sterling,-0.950782998
May 1 2000,1,Canadian dollar,-3.029580153
May 1 2000,1,Swiss franc,3.049444565
May 1 2000,1,Indian rupee,-4.909540255
May 1 2000,1,Chinese renmimbi,-5.234687084
May 1 2000,1,South African rand,5.12863818
May 1 2000,1,Australian dollar,7.844474761
Jun 1 2000,1,US dollar,-6.131588012
Jun 1 2000,1,Euro,2.378454005
Jun 1 2000,1,Japanese yen,0.576028258
Jun 1 2000,1,Pound sterling,2.125279642
Jun 1 2000,1,Canadian dollar,-3.101145038
Jun 1 2000,1,Swiss franc,0.304944457
Jun 1 2000,1,Indian rupee,-3.800576661
Jun 1 2000,1,Chinese renmimbi,-6.145972037
Jun 1 2000,1,South African rand,7.222879018
Jun 1 2000,1,Australian dollar,8.231014097
Aug 1 2000,1,US dollar,-4.374784705
Aug 1 2000,1,Euro,4.896817069
Aug 1 2000,1,Japanese yen,3.165438305
Aug 1 2000,1,Pound sterling,3.467561521
Aug 1 2000,1,Canadian dollar,-1.574427481
