Year,Asset,Value
1975,Gold,3593.4
1975,IMF,162.9
1975,Holdings,186.9
1975,Papers,444.9
1975,Discounted,0
1975,Deposits,0
1975,Loans,0
1975,Deferred Expenditure,0
1975,Properties,0
1975,Other Assets,1054.8
1976,Gold,5922.1
1976,IMF,158.4
1976,Holdings,191.8
1976,Papers,324.5
1976,Discounted,0
1976,Deposits,0
1976,Loans,0
1976,Deferred Expenditure,0
1976,Properties,0
1976,Other Assets,719.8
1977,Gold,6544.9
1977,IMF,149.3
1977,Holdings,76.3
1977,Papers,422.4
1977,Discounted,0
1977,Deposits,0
1977,Loans,0
1977,Deferred Expenditure,0
1977,Properties,0
1977,Other Assets,1079.7
1978,Gold,7138.2
1978,IMF,154.2
1978,Holdings,111.5
1978,Papers,385.5
1978,Discounted,0
1978,Deposits,0
1978,Loans,0
1978,Deferred Expenditure,0
1978,Properties,0
1978,Other Assets,992.2
1979,Gold,8800.1
1979,IMF,194.6
1979,Holdings,251.8
1979,Papers,742
1979,Discounted,0
1979,Deposits,0
1979,Loans,0
1979,Deferred Expenditure,0
1979,Properties,0
1979,Other Assets,1912.1
1980,Gold,9708.6
1980,IMF,329.5
1980,Holdings,276.7
1980,Papers,1680.8
1980,Discounted,0
1980,Deposits,0
1980,Loans,0
1980,Deferred Expenditure,0
1980,Properties,0
1980,Other Assets,3008.8
1981,Gold,9172.3
1981,IMF,304.2
1981,Holdings,328.5
1981,Papers,707.7
1981,Discounted,0
1981,Deposits,0
1981,Loans,0
1981,Deferred Expenditure,0
1981,Properties,0
1981,Other Assets,2201.6
1982,Gold,8739.1
1982,IMF,298
1982,Holdings,302
1982,Papers,2001.1
1982,Discounted,0
1982,Deposits,0
1982,Loans,0
1982,Deferred Expenditure,0
1982,Properties,0
1982,Other Assets,4772.1
1983,Gold,8813.5
1983,IMF,390.1
1983,Holdings,252.4
1983,Papers,3524.6
1983,Discounted,0
1983,Deposits,0
1983,Loans,0
1983,Deferred Expenditure,0
1983,Properties,0
1983,Other Assets,5793.9
1984,Gold,9041.1
1984,IMF,379.5
1984,Holdings,235.9
1984,Papers,4808.6
1984,Discounted,0
1984,Deposits,0
1984,Loans,0
1984,Deferred Expenditure,0
1984,Properties,0
1984,Other Assets,6650.2
1985,Gold,11773.1
1985,IMF,422.4
1985,Holdings,279.5
1985,Papers,2467.9
1985,Discounted,514.4
1985,Deposits,0
1985,Loans,420.6
1985,Deferred Expenditure,0
1985,Properties,0
1985,Other Assets,4051.7
1986,Gold,15499
1986,IMF,507.1
1986,Holdings,352.3
1986,Papers,2057.8
1986,Discounted,633.2
1986,Deposits,0
1986,Loans,432.7
1986,Deferred Expenditure,0
1986,Properties,0
1986,Other Assets,4055.4
1987,Gold,18568.4
1987,IMF,540.5
1987,Holdings,407
1987,Papers,1961
1987,Discounted,682.3
1987,Deposits,725.2
1987,Loans,523.1
1987,Deferred Expenditure,0
1987,Properties,0
1987,Other Assets,3966.5
1988,Gold,17270.7
1988,IMF,627.7
1988,Holdings,440.2
1988,Papers,2164.2
1988,Discounted,1126.9
1988,Deposits,1242.5
1988,Loans,1813.9
1988,Deferred Expenditure,0
1988,Properties,0
1988,Other Assets,5714.4
1989,Gold,20618.8
1989,IMF,605.9
1989,Holdings,458.6
1989,Papers,1529.1
1989,Discounted,2371
1989,Deposits,1382
1989,Loans,1858.1
1989,Deferred Expenditure,0
1989,Properties,0
1989,Other Assets,7585.8
1990,Gold,25886.3
1990,IMF,629.1
1990,Holdings,529.5
1990,Papers,2681.2
1990,Discounted,4049.8
1990,Deposits,1733.5
1990,Loans,2132.2
1990,Deferred Expenditure,0
1990,Properties,0
1990,Other Assets,10632.7
1991,Gold,29197.1
1991,IMF,700.3
1991,Holdings,570.2
1991,Papers,1611
1991,Discounted,5194.6
1991,Deposits,2387.4
1991,Loans,1897.5
1991,Deferred Expenditure,0
1991,Properties,0
1991,Other Assets,10507.2
1992,Gold,46074.6
1992,IMF,847.7
1992,Holdings,295.7
1992,Papers,560.8
1992,Discounted,3859.9
1992,Deposits,1943.9
1992,Loans,2368.8
1992,Deferred Expenditure,0
1992,Properties,0
1992,Other Assets,8909
1993,Gold,75309.4
1993,IMF,838.6
1993,Holdings,326.5
1993,Papers,454.4
1993,Discounted,3523.9
1993,Deposits,1748.6
1993,Loans,2637.1
1993,Deferred Expenditure,5707.2
1993,Properties,0
1993,Other Assets,20277.9
1994,Gold,66830.8
1994,IMF,1022
1994,Holdings,349.9
1994,Papers,980.4
1994,Discounted,3369.7
1994,Deposits,2953.5
1994,Loans,3445.2
1994,Deferred Expenditure,5136.5
1994,Properties,0
1994,Other Assets,19219.3
1995,Gold,61681.9
1995,IMF,1723.3
1995,Holdings,391
1995,Papers,2155.4
1995,Discounted,3176.8
1995,Deposits,2437.2
1995,Loans,4195.5
1995,Deferred Expenditure,4565.8
1995,Properties,0
1995,Other Assets,19770
1996,Gold,67864.6
1996,IMF,1738.2
1996,Holdings,427.7
1996,Papers,3117.6
1996,Discounted,1348.2
1996,Deposits,3940.6
1996,Loans,4659.8
1996,Deferred Expenditure,3995
1996,Properties,0
1996,Other Assets,19845.8
1997,Gold,57032.1
1997,IMF,1622
1997,Holdings,478.9
1997,Papers,3728.7
1997,Discounted,969.3
1997,Deposits,27798.2
1997,Loans,4694.1
1997,Deferred Expenditure,3424.3
1997,Properties,0
1997,Other Assets,18917.7
1998,Gold,96264.9
1998,IMF,2379.3
1998,Holdings,793.9
1998,Papers,1072.4
1998,Discounted,0
1998,Deposits,2512
1998,Loans,5773.4
1998,Deferred Expenditure,2853.6
1998,Properties,0
1998,Other Assets,19365.6
1999,Gold,113765.9
1999,IMF,3168.2
