Date,Currency,Change
January 1 1979,US dollar,0
January 1 1979,Euro,0
January 1 1979,Japanese yen,
January 1 1979,Pound sterling,0
January 1 1979,Canadian dollar,
January 1 1979,Swiss franc,
January 1 1979,Indian rupee,
January 1 1979,Chinese renmimbi,
January 1 1979,South African rand,
January 1 1979,Australian dollar,
February 1 1979,US dollar,1.504424779
February 1 1979,Euro,4.230488694
February 1 1979,Japanese yen,9.256595058
February 1 1979,Pound sterling,4.60704607
February 1 1979,Canadian dollar,5.877891543
February 1 1979,Swiss franc,10.42825362
February 1 1979,Indian rupee,7.485080038
February 1 1979,Chinese renmimbi,
February 1 1979,South African rand,3.956834532
February 1 1979,Australian dollar,6.301652893
March 1 1979,US dollar,10.08849558
March 1 1979,Euro,11.81619256
March 1 1979,Japanese yen,17.73686491
March 1 1979,Pound sterling,11.11111111
March 1 1979,Canadian dollar,12.1350019
March 1 1979,Swiss franc,16.15684093
March 1 1979,Indian rupee,12.88415416
March 1 1979,Chinese renmimbi,
March 1 1979,South African rand,8.016443988
March 1 1979,Australian dollar,14.25619835
May 1 1979,US dollar,9.424778761
May 1 1979,Euro,11.45149526
May 1 1979,Japanese yen,27.40583205
May 1 1979,Pound sterling,8.039747064
May 1 1979,Canadian dollar,6.788016686
May 1 1979,Swiss franc,17.88097887
May 1 1979,Indian rupee,14.04428579
May 1 1979,Chinese renmimbi,
May 1 1979,South African rand,7.39979445
May 1 1979,Australian dollar,15.65082645
June 1 1979,US dollar,21.72566372
June 1 1979,Euro,25.96644785
June 1 1979,Japanese yen,41.83329511
June 1 1979,Pound sterling,19.78319783
June 1 1979,Canadian dollar,22.37390975
June 1 1979,Swiss franc,33.42602892
June 1 1979,Indian rupee,25.19939762
June 1 1979,Chinese renmimbi,
June 1 1979,South African rand,19.83556012
June 1 1979,Australian dollar,29.1322314
August 1 1979,US dollar,28.36283186
August 1 1979,Euro,28.0816922
August 1 1979,Japanese yen,45.76403513
August 1 1979,Pound sterling,15.44715447
August 1 1979,Canadian dollar,29.31361396
August 1 1979,Swiss franc,34.23248053
August 1 1979,Indian rupee,28.15550226
