Date,Currency,Change
January 3 2000,US dollar,0
January 3 2000,Euro,0
January 3 2000,Japanese yen,0
January 3 2000,Pound sterling,0
January 3 2000,Canadian dollar,0
January 3 2000,Swiss franc,0
January 3 2000,Indian rupee,0
January 3 2000,Chinese renmimbi,0
January 3 2000,South African rand,0
January 3 2000,Australian dollar,0
January 4 2000,US dollar,-3.031346883
January 4 2000,Euro,-4.407135362
January 4 2000,Japanese yen,-1.537547125
January 4 2000,Pound sterling,-3.747203579
January 4 2000,Canadian dollar,-2.624045802
January 4 2000,Swiss franc,-4.530603354
January 4 2000,Indian rupee,-2.938753525
January 4 2000,Chinese renmimbi,-3.0126498
January 4 2000,South African rand,-3.09069414
January 4 2000,Australian dollar,-2.660300136
January 5 2000,US dollar,-3.375818119
January 5 2000,Euro,-5.106680658
January 5 2000,Japanese yen,-1.066807051
January 5 2000,Pound sterling,-4.306487696
January 5 2000,Canadian dollar,-2.767175573
January 5 2000,Swiss franc,-5.184055761
January 5 2000,Indian rupee,-3.326098666
January 5 2000,Chinese renmimbi,-3.374667111
January 5 2000,South African rand,-4.092777121
January 5 2000,Australian dollar,-2.978626648
January 6 2000,US dollar,-3.75473648
January 6 2000,Euro,-5.5613851
January 6 2000,Japanese yen,-0.122949428
January 6 2000,Pound sterling,-5.14541387
January 6 2000,Canadian dollar,-2.86259542
January 6 2000,Swiss franc,-5.576127205
January 6 2000,Indian rupee,-3.713443807
January 6 2000,Chinese renmimbi,-3.736684421
January 6 2000,South African rand,-4.441817261
January 6 2000,Australian dollar,-3.046839472
January 7 2000,US dollar,-2.824664141
January 7 2000,Euro,-4.092339979
January 7 2000,Japanese yen,1.033862039
January 7 2000,Pound sterling,-3.691275168
January 7 2000,Canadian dollar,-1.908396947
January 7 2000,Swiss franc,-4.007841429
January 7 2000,Indian rupee,-2.762903584
January 7 2000,Chinese renmimbi,-2.812916112
January 7 2000,South African rand,-3.884478973
January 7 2000,Australian dollar,-2.137335152
January 10 2000,US dollar,-2.996899759
January 10 2000,Euro,-4.057362714
January 10 2000,Japanese yen,0.764188432
January 10 2000,Pound sterling,-3.803131991
January 10 2000,Canadian dollar,-2.242366412
January 10 2000,Swiss franc,-3.855369201
January 10 2000,Indian rupee,-2.924495422
January 10 2000,Chinese renmimbi,-2.983521971
January 10 2000,South African rand,-3.586105951
January 10 2000,Australian dollar,-2.478399272
January 11 2000,US dollar,-2.755769893
January 11 2000,Euro,-4.127317244
January 11 2000,Japanese yen,1.399313929
January 11 2000,Pound sterling,-4.138702461
January 11 2000,Canadian dollar,-1.908396947
January 11 2000,Swiss franc,-3.898932694
January 11 2000,Indian rupee,-2.683691898
January 11 2000,Chinese renmimbi,-2.758821571
January 11 2000,South African rand,-3.327140686
January 11 2000,Australian dollar,-2.364711232
January 12 2000,US dollar,-2.755769893
January 12 2000,Euro,-3.88247639
January 12 2000,Japanese yen,1.461467921
January 12 2000,Pound sterling,-4.082774049
January 12 2000,Canadian dollar,-1.979961832
January 12 2000,Swiss franc,-3.659333479
January 12 2000,Indian rupee,-2.694781534
January 12 2000,Chinese renmimbi,-2.758821571
January 12 2000,South African rand,-3.625513708
January 12 2000,Australian dollar,-2.592087312
January 13 2000,US dollar,-2.824664141
January 13 2000,Euro,-3.95243092
January 13 2000,Japanese yen,1.743028903
January 13 2000,Pound sterling,-4.306487696
January 13 2000,Canadian dollar,-2.409351145
January 13 2000,Swiss franc,-3.550424744
January 13 2000,Indian rupee,-2.741516429
January 13 2000,Chinese renmimbi,-2.808754993
January 13 2000,South African rand,-3.822552497
January 13 2000,Australian dollar,-3.774442929
January 14 2000,US dollar,-2.411298657
January 14 2000,Euro,-2.133613151
January 14 2000,Japanese yen,2.012023231
January 14 2000,Pound sterling,-3.131991051
January 14 2000,Canadian dollar,-1.95610687
January 14 2000,Swiss franc,-1.568285777
January 14 2000,Indian rupee,-2.321694496
January 14 2000,Chinese renmimbi,-2.396804261
January 14 2000,South African rand,-3.152620616
January 14 2000,Australian dollar,-3.433378809
January 17 2000,US dollar,-1.68790906
January 17 2000,Euro,-1.014340679
January 17 2000,Japanese yen,1.558265122
January 17 2000,Pound sterling,-2.181208054
January 17 2000,Canadian dollar,-1.192748092
January 17 2000,Swiss franc,-0.500980179
January 17 2000,Indian rupee,-1.586610057
January 17 2000,Chinese renmimbi,-1.693575233
January 17 2000,South African rand,-2.280020267
January 17 2000,Australian dollar,-2.205547976
January 18 2000,US dollar,-1.550120565
January 18 2000,Euro,-1.119272473
January 18 2000,Japanese yen,2.402948069
January 18 2000,Pound sterling,-2.4049217
January 18 2000,Canadian dollar,-1.192748092
January 18 2000,Swiss franc,-0.566325419
January 18 2000,Indian rupee,-1.352143468
January 18 2000,Chinese renmimbi,-1.539613848
January 18 2000,South African rand,-2.06046276
January 18 2000,Australian dollar,-2.182810368
January 19 2000,US dollar,-0.895625215
January 19 2000,Euro,-0.384749913
January 19 2000,Japanese yen,3.309785008
January 19 2000,Pound sterling,-1.901565996
January 19 2000,Canadian dollar,-0.429389313
January 19 2000,Swiss franc,0.130690481
January 19 2000,Indian rupee,-0.747758309
January 19 2000,Chinese renmimbi,-0.894640479
January 19 2000,South African rand,-1.109046895
January 19 2000,Australian dollar,-1.432469304
January 20 2000,US dollar,-0.757836721
January 20 2000,Euro,-0.174886324
January 20 2000,Japanese yen,3.187854499
January 20 2000,Pound sterling,-2.237136465
January 20 2000,Canadian dollar,-0.596374046
January 20 2000,Swiss franc,0.239599216
January 20 2000,Indian rupee,-0.567155667
January 20 2000,Chinese renmimbi,-0.744840213
January 20 2000,South African rand,-1.041490739
January 20 2000,Australian dollar,-1.864483856
January 21 2000,US dollar,-0.861178092
January 21 2000,Euro,-0.034977265
January 21 2000,Japanese yen,2.495669599
January 21 2000,Pound sterling,-2.516778523
January 21 2000,Canadian dollar,-0.90648855
January 21 2000,Swiss franc,0.28316271
January 21 2000,Indian rupee,-0.685973195
January 21 2000,Chinese renmimbi,-0.86551265
January 21 2000,South African rand,-0.68682092
January 21 2000,Australian dollar,-1.318781264
January 24 2000,US dollar,-1.067860834
January 24 2000,Euro,0.209863589
January 24 2000,Japanese yen,3.02143124
January 24 2000,Pound sterling,-2.796420582
January 24 2000,Canadian dollar,-1.216603053
January 24 2000,Swiss franc,0.697015901
January 24 2000,Indian rupee,-0.788948386
January 24 2000,Chinese renmimbi,-1.06108522
January 24 2000,South African rand,-0.399707257
January 24 2000,Australian dollar,-0.250113688
January 25 2000,US dollar,-0.792283844
January 25 2000,Euro,0.06995453
January 25 2000,Japanese yen,3.523757769
January 25 2000,Pound sterling,-2.348993289
January 25 2000,Canadian dollar,-1.121183206
January 25 2000,Swiss franc,0.63167066
January 25 2000,Indian rupee,-0.58141377
January 25 2000,Chinese renmimbi,-0.790612517
January 25 2000,South African rand,-0.180149749
January 25 2000,Australian dollar,0.090950432
January 26 2000,US dollar,-1.515673441
January 26 2000,Euro,-0.104931794
January 26 2000,Japanese yen,2.856026899
January 26 2000,Pound sterling,-2.516778523
January 26 2000,Canadian dollar,-1.908396947
January 26 2000,Swiss franc,0.304944457
January 26 2000,Indian rupee,-1.308577041
January 26 2000,Chinese renmimbi,-1.518808256
January 26 2000,South African rand,-0.731858357
January 26 2000,Australian dollar,-0.068212824
January 27 2000,US dollar,-1.619014812
January 27 2000,Euro,1.049317943
January 27 2000,Japanese yen,1.828278368
January 27 2000,Pound sterling,-2.460850112
January 27 2000,Canadian dollar,-2.33778626
January 27 2000,Swiss franc,1.54650403
January 27 2000,Indian rupee,-1.444029023
January 27 2000,Chinese renmimbi,-1.635319574
January 27 2000,South African rand,-0.152001351
January 27 2000,Australian dollar,-0.818553888
January 28 2000,US dollar,-1.205649328
January 28 2000,Euro,2.34347674
January 28 2000,Japanese yen,2.913765581
January 28 2000,Pound sterling,-0.950782998
January 28 2000,Canadian dollar,-1.383587786
January 28 2000,Swiss franc,2.788063603
January 28 2000,Indian rupee,-0.952916574
January 28 2000,Chinese renmimbi,-1.22752996
January 28 2000,South African rand,2.56150425
January 28 2000,Australian dollar,1.47794452
January 31 2000,US dollar,-2.411298657
January 31 2000,Euro,1.294158797
January 31 2000,Japanese yen,2.998335767
January 31 2000,Pound sterling,-2.237136465
January 31 2000,Canadian dollar,-2.075381679
January 31 2000,Swiss franc,1.437595295
