Currency,Year,Decimal,Percent,
US dollar,2011,0.292413793,29.24137931,100
US dollar,2012,0.407816092,40.7816092,
US dollar,2013,0.524137931,52.4137931,
US dollar,2014,0.107586207,10.75862069,
US dollar,2015,0.108965517,10.89655172,
US dollar,2016,-0.025287356,-2.528735632,
US dollar,2017,0.053701149,5.370114943,
US dollar,2018,0.187126437,18.71264368,
US dollar,2019,0.176091954,17.6091954,
US dollar,2020,0.39291954,39.29195402,
Euro,2011,0.387730871,38.77308707,
Euro,2012,0.555936675,55.59366755,
Euro,2013,0.658575198,65.85751979,
Euro,2014,0.153166227,15.31662269,
Euro,2015,0.314907652,31.49076517,
Euro,2016,0.287335092,28.73350923,
Euro,2017,0.433245383,43.32453826,
Euro,2018,0.418337731,41.83377309,
Euro,2019,0.475989446,47.59894459,
Euro,2020,0.780211082,78.02110818,
Japanese yen,2011,0.134150461,13.41504611,
Japanese yen,2012,0.163514117,16.35141168,
Japanese yen,2013,0.41559233,41.55923304,
Japanese yen,2014,0.250474117,25.04741172,
Japanese yen,2015,0.428212736,42.82127364,
Japanese yen,2016,0.259499135,25.94991347,
Japanese yen,2017,0.320139707,32.01397065,
Japanese yen,2018,0.436487068,43.64870685,
Japanese yen,2019,0.386056807,38.60568071,
Japanese yen,2020,0.625978854,62.59788544,
Pound sterling,2011,0.34956935,34.95693496,
Pound sterling,2012,0.462874963,46.28749629,
Pound sterling,2013,0.514256014,51.42560143,
Pound sterling,2014,0.08004158,8.004158004,
Pound sterling,2015,0.148648649,14.86486486,
Pound sterling,2016,0.068013068,6.801306801,
Pound sterling,2017,0.377190377,37.71903772,
Pound sterling,2018,0.417285417,41.72854173,
Pound sterling,2019,0.491238491,49.12384912,
Pound sterling,2020,0.697950698,69.7950698,
Swiss franc,2011,0.167941647,16.79416474,
Swiss franc,2012,0.27343889,27.34388899,
Swiss franc,2013,0.349581925,34.95819249,
Swiss franc,2014,-0.047144636,-4.714463619,
Swiss franc,2015,0.065913539,6.591353852,
Swiss franc,2016,-0.056128803,-5.61288027,
Swiss franc,2017,0.035936666,3.593666607,
Swiss franc,2018,0.11910692,11.91069205,
Swiss franc,2019,0.121508628,12.15086284,
Swiss franc,2020,0.304750044,30.47500445,
Indian rupee,2011,0.242145324,24.21453243,
Indian rupee,2012,0.606578563,60.65785626,
Indian rupee,2013,0.794509829,79.45098287,
Indian rupee,2014,0.472219148,47.22191484,
Indian rupee,2015,0.504258321,50.4258321,
Indian rupee,2016,0.385695203,38.5695203,
Indian rupee,2017,0.536793474,53.67934744,
Indian rupee,2018,0.628265371,62.82653715,
Indian rupee,2019,0.764454579,76.44545792,
Indian rupee,2020,1.136471778,113.6471778,
Chinese renmimbi,2011,0.247481278,24.74812779,
