Country,Year,Value
Aruba,2000,235455000
Aruba,2001,321360614.5
Aruba,2002,374002933
Aruba,2003,336945700
Aruba,2004,339224000
Aruba,2005,324813400
Aruba,2006,401389600
Aruba,2007,455457100
Aruba,2008,691873900
Aruba,2009,686970110
Aruba,2010,708713690
Aruba,2011,689775980
Aruba,2012,768622300
Aruba,2013,653170670
Aruba,2014,680351000
Aruba,2015,815800560
Aruba,2016,922550890
Aruba,2017,907111452.5
Aruba,2018,980247680
Aruba,2019,982300000
Aruba,2020,1212578720
Afghanistan,2008,3042274496
Afghanistan,2009,4265888740
Afghanistan,2010,5162440807
Afghanistan,2011,6344641960
Afghanistan,2012,7152304398
Afghanistan,2013,7288702711
Afghanistan,2014,7528549880
Afghanistan,2015,6976966154
Afghanistan,2016,7281910524
Afghanistan,2017,8097280956
Afghanistan,2018,8206682106
Afghanistan,2019,8497655795
Afghanistan,2020,9694989381
Angola,2000,1198212373
Angola,2001,731866198.1
Angola,2002,375545950.3
Angola,2003,634199422.3
Angola,2004,1379588147
Angola,2005,3196850749
Angola,2006,8149079646
Angola,2007,11196800894
Angola,2008,17869411576
Angola,2009,13664098154
Angola,2010,19678661657
Angola,2011,27039761554
Angola,2012,31161778889
Angola,2013,31500815462
Angola,2014,27032344084
Angola,2015,23790543425
Angola,2016,23672191989
Angola,2017,17455327771
Angola,2018,15410405365
Angola,2019,16334853784
Angola,2020,13781988140
Albania,2000,646305676.5
Albania,2001,770581227.4
Albania,2002,866478231.3
Albania,2003,1038294231
Albania,2004,1387912854
Albania,2005,1439592137
Albania,2006,1812802560
Albania,2007,2161936583
Albania,2008,2363791897
Albania,2009,2368942443
Albania,2010,2540673823
Albania,2011,2471402725
Albania,2012,2599863597
Albania,2013,2773278107
Albania,2014,2665215805
Albania,2015,3138517990
Albania,2016,3108607052
Albania,2017,3588583657
Albania,2018,3893560031
Albania,2019,3763661059
Albania,2020,4817386149
United Arab Emirates,2000,13631620189
United Arab Emirates,2001,14256130113
United Arab Emirates,2002,15355431325
United Arab Emirates,2003,15087811904
United Arab Emirates,2004,18529923698
United Arab Emirates,2005,21010295842
