Country,Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Value
Brazil,BRA,2.89E+11,3.52E+11,3.73E+11,3.59E+11,3.64E+11,3.56E+11,3.65E+11,3.74E+11,3.75E+11,3.57E+11,3.56E+11,3.56E+11
Switzerland,CHE,2.70E+11,3.31E+11,5.31E+11,5.36E+11,5.46E+11,6.02E+11,6.79E+11,8.11E+11,7.87E+11,8.55E+11,1.08E+12,1.08E+12
China,CHN,2.91E+12,3.25E+12,3.39E+12,3.88E+12,3.90E+12,3.41E+12,3.10E+12,3.24E+12,3.17E+12,3.22E+12,3.36E+12,3.36E+12
Germany,DEU,2.16E+11,2.34E+11,2.49E+11,1.99E+11,1.93E+11,1.74E+11,1.84E+11,2.00E+11,1.98E+11,2.24E+11,2.68E+11,2.68E+11
Euro area,EMU,7.88E+11,8.48E+11,9.09E+11,7.48E+11,7.46E+11,7.02E+11,7.42E+11,8.03E+11,8.23E+11,9.14E+11,1.08E+12,1.08E+12
France,FRA,1.66E+11,1.68E+11,1.85E+11,1.45E+11,1.44E+11,1.38E+11,1.46E+11,1.56E+11,1.66E+11,1.89E+11,2.24E+11,2.24E+11
United Kingdom,GBR,98025460114,1.10E+11,1.17E+11,1.19E+11,1.24E+11,1.48E+11,1.35E+11,1.51E+11,1.73E+11,1.74E+11,1.80E+11,1.80E+11
Hong Kong,HKG,,2.85E+11,3.17E+11,3.11E+11,3.29E+11,3.59E+11,3.86E+11,4.31E+11,4.25E+11,4.41E+11,4.92E+11,4.92E+11
India,IND,3.00E+11,2.99E+11,3.00E+11,2.98E+11,3.25E+11,3.53E+11,3.62E+11,4.13E+11,3.99E+11,4.63E+11,5.90E+11,5.90E+11
Israel,ISR,70907310771,74874110293,75907618701,81785518233,86101256622,90575018408,95446290282,1.13E+11,1.15E+11,1.26E+11,1.73E+11,1.73E+11
Italy,ITA,1.58E+11,1.70E+11,1.82E+11,1.46E+11,1.43E+11,1.31E+11,1.35E+11,1.51E+11,1.52E+11,1.75E+11,2.11E+11,2.11E+11
Japan,JPN,1.10E+12,1.30E+12,1.27E+12,1.27E+12,1.26E+12,1.23E+12,1.22E+12,1.26E+12,1.27E+12,1.32E+12,1.39E+12,1.39E+12
South Korea,KOR,2.92E+11,3.07E+11,3.28E+11,3.46E+11,3.63E+11,3.67E+11,3.70E+11,3.89E+11,4.03E+11,4.09E+11,4.43E+11,4.43E+11
Mexico,MEX,1.21E+11,1.49E+11,1.67E+11,1.80E+11,1.96E+11,1.78E+11,1.78E+11,1.75E+11,1.76E+11,1.83E+11,1.99E+11,1.99E+11
Russia,RUS,4.79E+11,4.97E+11,5.38E+11,5.10E+11,3.86E+11,3.68E+11,3.77E+11,4.33E+11,4.69E+11,5.55E+11,5.97E+11,5.97E+11
Saudi Arabia,SAU,4.59E+11,5.57E+11,6.74E+11,7.38E+11,7.44E+11,6.27E+11,5.47E+11,5.09E+11,5.09E+11,5.15E+11,4.73E+11,4.73E+11
Singapore,SGP,2.31E+11,2.44E+11,2.66E+11,2.78E+11,2.62E+11,2.52E+11,2.51E+11,2.85E+11,2.93E+11,2.85E+11,3.70E+11,3.70E+11
Thailand,THA,1.72E+11,1.75E+11,1.81E+11,1.67E+11,1.57E+11,1.56E+11,1.72E+11,2.03E+11,2.06E+11,2.24E+11,2.58E+11,2.58E+11
United States,USA,4.89E+11,5.37E+11,5.74E+11,4.49E+11,4.34E+11,3.84E+11,4.06E+11,4.51E+11,4.50E+11,5.17E+11,6.28E+11,6.28E+11
