Year,Tonnes,Diff
1962,2.8125,2.8125
1963,7.1875,4.375
1964,6.25,-0.9375
1965,1.875,-4.375
1966,0.9375,-0.9375
1967,27.8125,26.875
1968,59.0625,31.25
1969,56.25,-2.8125
1970,42.8125,-13.4375
1971,51.875,9.0625
1972,51.875,0
1973,51.875,0
1974,51.875,0
1975,51.875,0
1976,51.875,0
1977,54.375,2.5
1978,59.0625,4.6875
1979,66.5625,7.5
1980,72.5,5.9375
1981,72.8125,0.3125
1982,72.8125,0
1983,72.8125,0
1984,72.8125,0
1985,73.125,0.3125
1986,73.125,0
1987,73.4375,0.3125
1988,73.4375,0
1989,74.0625,0.625
1990,73.4375,-0.625
1991,73.4375,0
1992,74.6875,1.25
1993,74.6875,0
1994,74.6875,0
1995,74.6875,0
1996,74.6875,0
1997,73.4375,-1.25
1998,73.4375,0
1999,36.875,-36.5625
2000,36.5625,-0.3125
2001,36.5625,0
2002,36.5625,0
2003,36.5625,0
2004,36.5625,0
2005,36.5625,0
2006,36.5625,0
2007,36.5625,0
2008,36.5625,0
2009,36.5625,0
2010,36.5625,0
2011,36.5625,0
2012,36.5625,0
2013,36.5625,0
2014,35.9375,-0.625
2015,38.4375,2.5
2016,38.4375,0
2017,37.8125,-0.625
2018,39.0625,1.25
