Country,Code,Year,Value
China,CHN,2000,1.72E+11
China,CHN,2001,2.2E+11
China,CHN,2002,2.98E+11
China,CHN,2003,4.16E+11
China,CHN,2004,6.23E+11
China,CHN,2005,8.31E+11
China,CHN,2006,1.08E+12
China,CHN,2007,1.55E+12
China,CHN,2008,1.97E+12
China,CHN,2009,2.45E+12
China,CHN,2010,2.91E+12
China,CHN,2011,3.25E+12
China,CHN,2012,3.39E+12
China,CHN,2013,3.88E+12
China,CHN,2014,3.9E+12
China,CHN,2015,3.41E+12
China,CHN,2016,3.1E+12
China,CHN,2017,3.24E+12
China,CHN,2018,3.17E+12
China,CHN,2019,3.22E+12
China,CHN,2020,3.36E+12
Japan,JPN,2000,3.62E+11
Japan,JPN,2001,4.02E+11
Japan,JPN,2002,4.7E+11
Japan,JPN,2003,6.74E+11
Japan,JPN,2004,8.45E+11
Japan,JPN,2005,8.47E+11
Japan,JPN,2006,8.95E+11
Japan,JPN,2007,9.73E+11
Japan,JPN,2008,1.03E+12
Japan,JPN,2009,1.05E+12
Japan,JPN,2010,1.1E+12
Japan,JPN,2011,1.3E+12
Japan,JPN,2012,1.27E+12
Japan,JPN,2013,1.27E+12
Japan,JPN,2014,1.26E+12
Japan,JPN,2015,1.23E+12
Japan,JPN,2016,1.22E+12
Japan,JPN,2017,1.26E+12
Japan,JPN,2018,1.27E+12
Japan,JPN,2019,1.32E+12
Japan,JPN,2020,1.39E+12
Switzerland,CHE,2000,53620270122
Switzerland,CHE,2001,51549537913
Switzerland,CHE,2002,61276111966
Switzerland,CHE,2003,69563022240
Switzerland,CHE,2004,74567877421
Switzerland,CHE,2005,57575300181
Switzerland,CHE,2006,64461048830
Switzerland,CHE,2007,75172320982
Switzerland,CHE,2008,74145636041
Switzerland,CHE,2009,1.35E+11
Switzerland,CHE,2010,2.7E+11
Switzerland,CHE,2011,3.31E+11
Switzerland,CHE,2012,5.31E+11
Switzerland,CHE,2013,5.36E+11
Switzerland,CHE,2014,5.46E+11
Switzerland,CHE,2015,6.02E+11
Switzerland,CHE,2016,6.79E+11
Switzerland,CHE,2017,8.11E+11
Switzerland,CHE,2018,7.87E+11
Switzerland,CHE,2019,8.55E+11
Switzerland,CHE,2020,1.08E+12
Euro area,EMU,2000,3.52E+11
Euro area,EMU,2001,3.46E+11
Euro area,EMU,2002,3.84E+11
Euro area,EMU,2003,3.87E+11
Euro area,EMU,2004,3.83E+11
Euro area,EMU,2005,3.78E+11
Euro area,EMU,2006,4.29E+11
Euro area,EMU,2007,5.1E+11
Euro area,EMU,2008,5.22E+11
Euro area,EMU,2009,6.6E+11
Euro area,EMU,2010,7.88E+11
Euro area,EMU,2011,8.48E+11
Euro area,EMU,2012,9.09E+11
Euro area,EMU,2013,7.48E+11
Euro area,EMU,2014,7.46E+11
Euro area,EMU,2015,7.02E+11
Euro area,EMU,2016,7.42E+11
Euro area,EMU,2017,8.03E+11
Euro area,EMU,2018,8.23E+11
Euro area,EMU,2019,9.14E+11
Euro area,EMU,2020,1.08E+12
United States,USA,2000,1.28E+11
United States,USA,2001,1.3E+11
United States,USA,2002,1.58E+11
United States,USA,2003,1.84E+11
United States,USA,2004,1.9E+11
United States,USA,2005,1.88E+11
United States,USA,2006,2.21E+11
United States,USA,2007,2.78E+11
United States,USA,2008,2.94E+11
United States,USA,2009,4.04E+11
United States,USA,2010,4.89E+11
United States,USA,2011,5.37E+11
United States,USA,2012,5.74E+11
United States,USA,2013,4.49E+11
United States,USA,2014,4.34E+11
United States,USA,2015,3.84E+11
United States,USA,2016,4.06E+11
United States,USA,2017,4.51E+11
United States,USA,2018,4.5E+11
United States,USA,2019,5.17E+11
United States,USA,2020,6.28E+11
Russian Federation,RUS,2000,27656266696
Russian Federation,RUS,2001,36302524269
Russian Federation,RUS,2002,48325637167
Russian Federation,RUS,2003,78409347971
Russian Federation,RUS,2004,1.26E+11
Russian Federation,RUS,2005,1.82E+11
Russian Federation,RUS,2006,3.04E+11
Russian Federation,RUS,2007,4.79E+11
Russian Federation,RUS,2008,4.26E+11
Russian Federation,RUS,2009,4.39E+11
Russian Federation,RUS,2010,4.79E+11
Russian Federation,RUS,2011,4.97E+11
Russian Federation,RUS,2012,5.38E+11
Russian Federation,RUS,2013,5.1E+11
Russian Federation,RUS,2014,3.86E+11
Russian Federation,RUS,2015,3.68E+11
Russian Federation,RUS,2016,3.77E+11
Russian Federation,RUS,2017,4.33E+11
Russian Federation,RUS,2018,4.69E+11
Russian Federation,RUS,2019,5.55E+11
Russian Federation,RUS,2020,5.97E+11
India,IND,2000,41059061575
India,IND,2001,49050841139
India,IND,2002,71607865094
India,IND,2003,1.04E+11
India,IND,2004,1.32E+11
India,IND,2005,1.38E+11
India,IND,2006,1.78E+11
India,IND,2007,2.77E+11
India,IND,2008,2.57E+11
India,IND,2009,2.85E+11
India,IND,2010,3E+11
India,IND,2011,2.99E+11
India,IND,2012,3E+11
India,IND,2013,2.98E+11
India,IND,2014,3.25E+11
India,IND,2015,3.53E+11
India,IND,2016,3.62E+11
India,IND,2017,4.13E+11
India,IND,2018,3.99E+11
India,IND,2019,4.63E+11
India,IND,2020,5.9E+11
"Hong Kong SAR, China",HKG,2000,1.08E+11
"Hong Kong SAR, China",HKG,2001,1.11E+11
"Hong Kong SAR, China",HKG,2002,1.12E+11
"Hong Kong SAR, China",HKG,2003,1.18E+11
"Hong Kong SAR, China",HKG,2004,1.24E+11
"Hong Kong SAR, China",HKG,2005,1.24E+11
"Hong Kong SAR, China",HKG,2006,1.33E+11
"Hong Kong SAR, China",HKG,2007,1.53E+11
"Hong Kong SAR, China",HKG,2008,1.83E+11
"Hong Kong SAR, China",HKG,2009,2.56E+11
"Hong Kong SAR, China",HKG,2011,2.85E+11
"Hong Kong SAR, China",HKG,2012,3.17E+11
"Hong Kong SAR, China",HKG,2013,3.11E+11
"Hong Kong SAR, China",HKG,2014,3.29E+11
"Hong Kong SAR, China",HKG,2015,3.59E+11
"Hong Kong SAR, China",HKG,2016,3.86E+11
"Hong Kong SAR, China",HKG,2017,4.31E+11
"Hong Kong SAR, China",HKG,2018,4.25E+11
"Hong Kong SAR, China",HKG,2019,4.41E+11
"Hong Kong SAR, China",HKG,2020,4.92E+11
Saudi Arabia,SAU,2000,20846854711
Saudi Arabia,SAU,2001,18866525322
Saudi Arabia,SAU,2002,22185731358
Saudi Arabia,SAU,2003,24537673815
Saudi Arabia,SAU,2004,29303891020
Saudi Arabia,SAU,2005,1.57E+11
Saudi Arabia,SAU,2006,2.29E+11
Saudi Arabia,SAU,2007,3.09E+11
Saudi Arabia,SAU,2008,4.51E+11
Saudi Arabia,SAU,2009,4.21E+11
Saudi Arabia,SAU,2010,4.59E+11
Saudi Arabia,SAU,2011,5.57E+11
Saudi Arabia,SAU,2012,6.74E+11
Saudi Arabia,SAU,2013,7.38E+11
Saudi Arabia,SAU,2014,7.44E+11
Saudi Arabia,SAU,2015,6.27E+11
Saudi Arabia,SAU,2016,5.47E+11
Saudi Arabia,SAU,2017,5.09E+11
Saudi Arabia,SAU,2018,5.09E+11
Saudi Arabia,SAU,2019,5.15E+11
Saudi Arabia,SAU,2020,4.73E+11
"Korea, Rep.",KOR,2000,96250965793
"Korea, Rep.",KOR,2001,1.03E+11
"Korea, Rep.",KOR,2002,1.21E+11
"Korea, Rep.",KOR,2003,1.55E+11
"Korea, Rep.",KOR,2004,1.99E+11
"Korea, Rep.",KOR,2005,2.11E+11
"Korea, Rep.",KOR,2006,2.39E+11
"Korea, Rep.",KOR,2007,2.63E+11
"Korea, Rep.",KOR,2008,2.02E+11
"Korea, Rep.",KOR,2009,2.7E+11
"Korea, Rep.",KOR,2010,2.92E+11
"Korea, Rep.",KOR,2011,3.07E+11
"Korea, Rep.",KOR,2012,3.28E+11
"Korea, Rep.",KOR,2013,3.46E+11
"Korea, Rep.",KOR,2014,3.63E+11
"Korea, Rep.",KOR,2015,3.67E+11
"Korea, Rep.",KOR,2016,3.7E+11
"Korea, Rep.",KOR,2017,3.89E+11
"Korea, Rep.",KOR,2018,4.03E+11
"Korea, Rep.",KOR,2019,4.09E+11
"Korea, Rep.",KOR,2020,4.43E+11
