Country,Year,Tonnes
United States of America,2000,8175.34375
United States of America,2001,8187.5
United States of America,2002,8187.5
United States of America,2003,8173.327158
United States of America,2004,8174.572296
United States of America,2005,8173.454304
United States of America,2006,8171.840604
United States of America,2007,8171.840604
United States of America,2008,8171.840604
United States of America,2009,8171.840594
United States of America,2010,8171.840594
United States of America,2011,8171.840594
United States of America,2012,8171.841445
United States of America,2013,8171.841445
United States of America,2014,8171.841445
United States of America,2015,8171.841445
United States of America,2016,8171.841445
United States of America,2017,8171.841445
United States of America,2018,8171.841445
Germany,2000,3484.96875
Germany,2001,3472.875
Germany,2002,3462.0625
Germany,2003,3455.75
Germany,2004,3449.4375
Germany,2005,3443.96875
Germany,2006,3438.65625
Germany,2007,3433.5
Germany,2008,3428.6875
Germany,2009,3422.84375
Germany,2010,3417
Germany,2011,3412.3125
Germany,2012,3407.34375
Germany,2013,3403.125
Germany,2014,3400.15625
Germany,2015,3396.9375
Germany,2016,3393.875
Germany,2017,3389.5625
Germany,2018,3385.625
Italy,2000,2463.40625
Italy,2001,2463.40625
Italy,2002,2463.40625
Italy,2003,2463.40625
Italy,2004,2463.40625
Italy,2005,2463.40625
Italy,2006,2463.406313
Italy,2007,2463.406313
Italy,2008,2463.406313
Italy,2009,2463.406313
Italy,2010,2463.406313
Italy,2011,2463.406313
Italy,2012,2463.406313
Italy,2013,2463.406313
Italy,2014,2463.40625
Italy,2015,2463.40625
Italy,2016,2463.40625
Italy,2017,2463.40625
Italy,2018,2463.40625
France,2000,3038.90625
France,2001,3038.90625
France,2002,3038.96875
France,2003,3038.937563
France,2004,2999.375094
France,2005,2839.124906
France,2006,2732.593781
France,2007,2615.343813
France,2008,2503.90625
France,2009,2446.906344
France,2010,2446.906344
France,2011,2446.906344
France,2012,2446.875094
France,2013,2446.875094
France,2014,2446.875
France,2015,2447.125
France,2016,2447.34375
France,2017,2447.5
France,2018,2447.53125
Russia,2000,386.21875
Russia,2001,424.96875
Russia,2002,389.5
Russia,2003,392.03125
Russia,2004,388.78125
Russia,2005,388.6875
Russia,2006,403.375
Russia,2007,452.46875
Russia,2008,522.03125
Russia,2009,652.09375
Russia,2010,792.34375
Russia,2011,887.125
Russia,2012,962.28125
Russia,2013,1040.09375
Russia,2014,1213.889283
Russia,2015,1421.21875
Russia,2016,1622.84375
Russia,2017,1847.4375
Russia,2018,2123
China,2000,396.875
China,2001,503.125
China,2002,602.8125
China,2003,602.8125
China,2004,602.8125
China,2005,602.8125
China,2006,602.8125
China,2007,602.8125
China,2008,602.8125
China,2009,1059.0625
China,2010,1059.0625
China,2011,1059.0625
China,2012,1059.0625
China,2013,1059.0625
China,2014,1059.0625
China,2015,1770.625
China,2016,1851.25
China,2017,1851.25
China,2018,1861.25
Switzerland,2000,2430.79557
Switzerland,2001,2208.855113
Switzerland,2002,1925.727812
Switzerland,2003,1640.992975
Switzerland,2004,1360.678863
Switzerland,2005,1296.176475
Switzerland,2006,1296.176475
Switzerland,2007,1150.604032
Switzerland,2008,1045.009002
Switzerland,2009,1045.009002
Switzerland,2010,1044.983884
Switzerland,2011,1044.978861
Switzerland,2012,1044.978861
Switzerland,2013,1044.969819
Switzerland,2014,1044.896448
Switzerland,2015,1044.896475
Switzerland,2016,1044.90625
Switzerland,2017,1044.90625
Switzerland,2018,1044.90625
Japan,2000,767.1051891
Japan,2001,768.8262575
Japan,2002,768.8262575
Japan,2003,768.8262575
Japan,2004,768.8262575
Japan,2005,768.8262575
Japan,2006,768.8262575
Japan,2007,768.8262575
Japan,2008,768.8262575
Japan,2009,768.8262575
Japan,2010,768.8262575
Japan,2011,768.8262575
Japan,2012,768.8262575
Japan,2013,768.8262575
Japan,2014,768.8262575
Japan,2015,768.8262575
Japan,2016,768.8262575
Japan,2017,768.8262575
Japan,2018,768.8262575
Netherlands,2000,916.09375
Netherlands,2001,888.6875
Netherlands,2002,855.6875
Netherlands,2003,781.125
Netherlands,2004,781.125
Netherlands,2005,698.21875
Netherlands,2006,643.96875
Netherlands,2007,624.375
Netherlands,2008,615.34375
Netherlands,2009,615.34375
Netherlands,2010,615.34375
Netherlands,2011,615.34375
Netherlands,2012,615.34375
Netherlands,2013,615.34375
Netherlands,2014,615.34375
Netherlands,2015,615.34375
Netherlands,2016,615.34375
Netherlands,2017,615.34375
Netherlands,2018,615.34375
India,2000,359.4480927
India,2001,359.4450785
India,2002,359.4440738
India,2003,359.4440738
India,2004,359.4360361
India,2005,359.4360361
India,2006,359.4360361
India,2007,359.4360361
India,2008,359.4360361
India,2009,560.3780523
India,2010,560.3780523
India,2011,560.3780523
India,2012,560.3780523
India,2013,560.3780523
India,2014,560.3793584
India,2015,560.3793629
India,2016,560.398139
India,2017,560.7318769
India,2018,603.2743934
